No.,Title ENG,Condition ENG,setup ENG,Option 1 /Thumbs Up ENG:,Option 1 Short,Option 2 /Thumbs Down ENG:,Option 2 Short,Option 3 ENG
18,Grey Beard,If the player moves a survivor and Gray Beard is currently in the survivor deck:,"You are walking along the outskirts of the colony when you hear the familiar rapid pops of an automatic rifle in the near distance. You assume someone from the colony must be in trouble, and run toward the sound. Instead you find a tall scraggly man blowing holes through a mass of undead. He swings his gun on you as you arrive, and your hands fly up. ""I'm alive."" you shout ""Don't shoot!""","""Just take it. I don't want any trouble!"" Choose a card at random from your hand. Remove it from the game.",,"""We could use a man like you in our group, you say. ""I wouldn't mind having some others watching my back, my crew's all dead."" the stranger rasps. ""But here is the thing. I don't follow orders so good. If you want mu aid, then we follow my rules."" Search the survivor deck for Gray Beard, make him your group leader and place this card under him. Once per round, Gray Beard doesn't have to roll for exposure when attacking. As long as you control Gray Beard, you cannot add cards to a crisis.",,
19,Sophie Robinson,If the player moves a survivor and Sophie is currently in the survivor deck:,"You run after the smoking helicopter as it spins through the sky. It vanishes from view behind a wall or towering trees, and the ground shakes from impact. Passing through the trees, you see fire and smoke billowing from the cab, but so too do you see the pilot's arms waving wildly. As you draw closer you see she' still alive, but her legs are pinned. ""Help me!"" she screams.",You drag the pilot out of her seal and away from the wreckage. The blast of an explosion knocks the two of you to the ground as the fire reaches the fuel tank. Search the survivor deck for Sophie Robinson and add her to your following. Place 2 wound tokens on her.,,"Your eyes meet the pilot's, but you quickly look away and begin searching through her supplies. ""You monster!"" he screams as you grab what looks valuable and stumble clear of the wreckage. Choose a item deck. Draw and keep 2 cards from the chosen deck. Search the survivor deck for Sophie Robinson and remove her from the game.",,
20,Wounded survivor,If the player performs a search with a non-exiled survivor:,"Oh thank God you're alive,"" the stranger says. ""I was afraid you were one of the dead ones. God, I'm in a bad shape. I was with some others I met a few weeks ago but our group was gradually split up or killed. It'd sure be great to team up with somebody again. You got a group?"" Your gaze wanders from the stranger's eyes to the blood-soaked rags wrapped around their right hand. ""Oh this? This is nothing man. Just cut it up on some broken glass when I was looting a store back there."" The stranger laughs it off as nothing but they seem nervous about something.","You tell the stranger about the colony. Draw a card from the survivor deck and add it to your following. After the new survivor is placed in the colony, roll for exposure twice on that survivor.",,"""I'm sorry friend, but I prefer to go it alone. Nothing personal."" Nothing happens.",,
21,Creature Comforts,If a survivor the player controls is at the colony:,"""Morale around this place is at an all-time low. I know fuel is scarce, but imagine what hot showers and meal could do for everybody? Get us feeling human again. Sometimes I think we focus so much on the obvious necessities that we forget about the emotional ones. you know?""","Players may collectively place 3 fuel cards in the waste pile (without using their ability) to raise morale by 1. If they do not, nothing happens.",,,,
22,Outbreak,If a survivor the player controls is at the colony and there are 1 or more helpless survivors at the colony:,"At first Jerry just had a light fever, but the next day his neck was swollen and had a strange purple tint to it. Now three days have passed and you've never seen anything like it. The yellow buboes that have formed under Jerry' jaw are leaking pus, and the odor that surrounds him is harsh and bitter. This can't end well.",Kick out the helpless survivor. Remove a helpless survivor token from the colony. Lose 1 morale.,,"The sickness spreads through the colony. Each survivor at the colony receives 1 wound. If Olivia Brown or Janet Taylor are not in play, roll a die for each helpless survivor at the colony. On a result of 1, kill that helpless survivor.",,
23,Olivia Brown,If Olivia is in play:,"""Let me get this straight. You want to endanger the whole colony so you can probe a zombie or something?"" Olivia sighs. ""Don't be jealous."" she snaps. ""But yes. I want to study one of the undead. I might be able to find simple ways lo protect us from the virus."" Place Olivia at the colony (this does not count as a move). Every player with tor more survivors at the colony must vole with a thumb up or down. The option with the most votes takes effect.","Attach this card to Olivia. At the beginning of each round, if Olivia is at the colony, she may experiment. To experiment you must roll for exposure on Olivia. If you roll a non-blank result apply its effect to Olivia. If you roll a blank, when a player rolls a bitten result on the exposure die during that round, any player may immediately discard a medicine to ignore the effects of that bitten result.",,Nothing happens.,,
24,Brandon Kane,If a Brandon is in play and is not exiled:,"Place Brandon at the grocery store, if able (this does not count as a move). You shake your head at the deer's carcass you let slide off the counter to the ground. You'll need to bleach the floor. Brandon's in charge of sanitation, but he's on a grocery run, and you aren't about to leave that deer's blood for a couple hours. It's really dark in his room. Did he paint over the windows? Turning on your flashlight you see the shelves with the cleaning supplies... and the glass jars. Good God, what is he doing in here? You shine your lights in the glass and recoil at what you see - nail clippings, used hygiene products, and hair - oh God. The hair. None of it is Brandon's.",You beat up Brandon and force him lo clean all of it out. Place 1 wound on Brandon and place him at the colony (This does not count as a move).,,Add the last 10 non-survivor and non-event cards that have been removed from the game to the waste pile.,,
25,No ammo,"If the player uses the ability of weapon item card, after resolving that ability:","""That's right you ugly freak,"" you snarl at the zombie who head you just blew off. ""Plenty more where that came from!"" You reach down to your belt for another clip, only to remember you were on your last one. ""Or not."" You say to yourself. Looking over at the bloody ruin of the zombie, you wish you had shown a little restraint.",Place the used weapon in the waste pile.,,Hunt down more ammunition. Move all action dice from your unused action dice pool to your used action dice pool.,,
26,Forest Plum,If Forest is in play:,"""I couldn't help but notice you scored some whiskey on your last run,"" says Forest, and he gives what is supposed to be a charming grin. But it isn't. You can't stand the guy really. He's clingy, smells and refuses to take off his small Santa costume, which is a little worrying. But he's also clearly had a rough life and you can't help but fuel sympathy for him. He means well at least ""C'mon man, show some Christmas spirit.""","You give Forest the booze. Later that evening, he drunkenly tumbles off to the grocery store and loudly rings a bell in front of the entrance, asking no one in particular if they'd like to donate to charity. Place Forest at the grocery store (This does not count as a move). Add 4 noise tokens to the grocery store.",,"""Shove that Christmas spirit up your ass Forest. These spirits are staying with me."" Later that evening, Forest strikes out at another survivor in a fit or rage. The survivor with the lowest influence value (not including Forest) receives 1 wound.",,
27,Daniel Smith,If the player controls Daniel and there is at least 1 helpless survivor at the colony:,"One of the helpless survivors is found murdered, apparently for an unlabeled can of food. Remove 1 helpless survivor from the game.","The murder launches Daniel back into detective mode, and he identifies the killer through interviews and basic investigative techniques. Spend 1 unused action die. Choose a survivor. Place the chosen survivor at the police station (this does not count as a move). Return all cards equipped to the survivor to its controlling player's hand. That survivor cannot move, search, attack, or use its ability for the remainder or the game.",,"There is no law anymore, and Daniel watches the colony succumb to panic. He doesn't say it but he really doesn't care. Lose 1 morale.",,
28,Little Survivors,If the player moves a non-exiled survivor to a location where no other survivors are:,"The beam of your flashlight moves across the wreckage. Clearly this place has been hit by other scavengers, and you begin to doubt there's anything of value that's been left behind. Your light moves across a window, and you only just stifle a scream when you see eyes looking out at you from the glass. ""Oh God."" you say. The youngest can't be more than five years old. The oldest is maybe nine. They vanish before you can recover, their eyes full of fear and mistrust.",Add 3 helpless survivors to the colony. Gain 1 morale.,,The little survivors seem to be getting by on their own. Nothing happens.,,
29,Prophet,If an exiled survivor the player controls shares a location with a non-exiled survivor:,"You minding your own business, fully immersed in His Work, when who should you spy but one of the lost sheep belonging to that God-forsaken colony? You know what must be done.","You approach the poor thing and speak of the sins the colony has committed. The beep begin to weep, and confesses its shame. You cradle the pitiable thing in your arms, and promise everything will be okay. Take a non-exiled survivor that shares a location with one of your survivors and add them to your following.",,"This is no sheep, but a goat. You sneak up behind It incapacitate it with a brick, then set to branding its flesh. When it returns to the colony, your warnings will be there for everyone to see. The colony loses 1 morale.",,
30,Music,lf the player makes a search action with a non-exiled survivor:,"You laugh as you push the ruined shelves aside, revealing a guitar case. Inside you find an acoustic guitar in wonderful condition. You sit down with it and holding your breath, give it a strum. You wince at the noise, but after a few minutes of tuning, the notes that come from the instrument are enough to make tears form in your eyes.","That evening, as things quiet down at the colony, you pull out your newfound prize and play. Your song soothes those present, and serves as a reminder that there is more to being human than just surviving. Gain 1 morale.",,"The next morning as the people rise for their morning meal you play an old spiritual that speak of hope, and the good things that wait beyond all hardship and pain. All players roll an extra action
die at the beginning of the next round.",,
31,Collapsing Barriers,If a survivor the player controls is at the colony and there is at least 1 barricade and 1 zombie at the colony:,"""We've got a problem. They're piling up on the barricades, I've seen it - they're just a wall of meal teeth and claws. There's no way the barricades can hold up under that kind of weight. It's all makeshift anyway. I'm afraid we don't have a choice - we need to send in a team to clear them out."" Every player with 1 or more survivors at the colony must vote with a thumb up or down. The option with the most votes takes effect",Each player that controls 1 or more survivors at the colony chooses a survivor they control at the colony and rolls for exposure on that survivor.,,Remove all barricades from the colony.,,
32,Radio Signal,If a survivor the player controls is at the colony:,"""Check It out - I found this old mobile CB radio. It' beat up bad, but it seems to be receiving a signal. I think it's coming from close by. I can't pick up most of what they're saying, but I'd guess someone needs our help. Every player with 1 or more survivors at the colony must vote with a thumb up or down. The option with the most votes takes effect.","Players may collectively move 3 action dice from their unused action die pool to their used action die pool. If they do, add a helpless survivor token to the colony and gain 1 morale. If they do not, do not add a survivor token to the colony and lose 1 morale.",,Lose 1 morale.,,
33,Toxic Waste,If a survivor the player controls is at the colony:,"""I told that lazy jerk to get the fuel and medical waste offsite. So guess what he didn't do? God only knows what's leeching into the ground now. Is our water supply contaminated? How about our garden? And of course now it's colder than snowman's balls outside and we have to go clean that crap up."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with most votes takes effect.",Each player must place a frostbite wound on a survivor they control at the colony.,,Place all fuel and medicine cards that have been removed from game into the waste pile.,,
34,Alexis Grey,If the player controls Alexis and she is not exiled:,"Place Alexis at the library, if able, <this does not count as a move>. She whimpers with excitement and whispers, ""Look at all of these books."" Alexis turns in place and stares the book shelves choked full of books, and if as if she's seeing this old place for the first time. ""No one's been here I guess,"" she says, and shakes her head. She wonders that no one would realize what a treasure trove of information sat in this squat public building. All of the secrets to the everyday skills that most people had forgotten in their world of electronic convenience were here, just waiting to be unlocked. Agriculture, remedial electronics, weapon usage and maintenance.",Alexis cannot move away from the library for the remainder of the game.,,"""But no,"" she says shaking her head, tears forming in her eyes. ""I can't come back here. It hurts too much to see the place falling into decay."" Place Alexis in the colony (this does not count as a move). Alexis cannot move to the library for the remainder of the game.",,
35,James Meyers,If the player controls James and he is not exiled:,"""I can't help but think my particular skill set is more useful than ever. Who's going to help keep our leaders from cracking under the stress? Who else can identify psychological problem that could impact the colony's morale?""","James inventories the medical supplies coming into the colony. Look at every player's hand. You may remove 3 medicine cards from among them to gain 1 morale. ""I'm sorry, but I need to ration these for the most important cases.""",,James has great insight into the motivations of individuals who survive a great crisis. Look at any player's secret objective. You may discuss it with the group.,,
36,Bev Russell,If the player controls Bev:,"Place Bev at the school if able (this does not count as a move). Once again she finds herself back at the school the last place she saw her precious boy. The others have mentioned seeing feral children here and Bev is determined to … wait. What was that? From out of the darkness she sees a familiar face, a webbed pattern of inflamed veins sticking up under the skin of that once beautiful face. ""Nooo she whimpers, ""My boy."" ""Mommy!"" she cries as he rushes out of his hiding place. But he stops short, coughing up black bile onto the cheap laminate of the floors.","The fear mongers in the colony would murder them. For God's sake, they're just children. Is it their fault they're infected? Remove Bev's survivor card from the game. Bev's standee cannot be attacked, killed or moved away from the school. For remainder of the game whenever a survivor is moved to the school that survivor receives 1 wound (as Bev defends the children).",,"The heart from the inferno radiates against Bev's back as she walks away from the school, a tear rolling down her cheek. ""Rest in peace my darling."" Remove all item cards and zombies from the school.",,
37,The Deputy,If a non-exiled survivor the player controls is at a non-colony location:,"A tap on the glass draws your attention, and you're startled to see four uniformed officers standing outside. One tips his hat to you. You begin to undo the simple barricade you set at the door, but the door is kicked open, and the four men wrestle you to the ground. A gun is placed to your head. ""Listen carefully,"" says the lead man. ""We've seen your people around town. That's fine. I've got a key here to the gun locker back at the police station. We'll give it to you, but you got to promise your people will keep the area clear for us. Think you can do that?""","Reveal the top 8 cards of the Police Station item deck. Add any weapons from the revealed cards to your hand. Shuffle the rest of the cards back into the deck. Add the following victory condition to the current main objective, in addition to any victory conditions already listed: There are no zombies at the Gas Station, Hospital and Police Station.",,"""Keep your guns."" Nothing happens.",,
38,Sewer Passage,If a survivor the player controls is at the library:,"You casually walk past an aisle or public records, when an idea strikes you. In half an hour you locate the city's sewage layout, and plot a route that goes from a manhole just outside the colony all the way to the hospital. You show your findings to the colony but no one is interested in traversing a pitch black labyrinth of waste.","You're terrified but know this is your chance to do something meaningful for the colony, even if they don't realize it. You decide to try to clear a path. Choose a survivor you control at the library. Roll a die. Roll for exposure on the chosen survivor a number of times equal to the die result. If you are not killed by those exposure rolls, survivors do not have to roll for exposure for the remainder of the game, when moving from the colony to the hospital or from the hospital to the colony. Place this card next to the hospital as a reference.",,Nothing happens.,,
39,Horse,If the player moves a non-exiled survivor:,"You slip through the alleyways, moving as quietly as you can, when you hear the clip-clop of a horse's hooves on pavement. Peering out from the wreckage of a burned out bakery, you see a half starved horse walking down the street. The poor thing looks like it's been through a lot, but if it keeps walking through town it doesn't stand a chance of surviving.","Attach this card to the moved survivor. For the remainder of the game the survivor no longer has to roll for exposure when moving. As long as the survivor is not exiled, during the pay food portion of the colony phase, the colony must pay 1 additional food.",,"""Sorry, old girl"" Add 3 food to the supply.",,
40,Thomas Heart,If the player uses the ability of attached weapon item card while Thomas Hearth is in play:,"Gunshots ring out like church bells greeting the morning. This is business as usual now, but somewhere deep in the damaged folds of Thomas Heart's brain, something misfires. A blood vessel bursts in his left eye and the broken man begins to howl with fear, frustration and rage. The following choice belongs to the player who controls Thomas Heart.","Thomas distributes 4 wounds to survivors who share his location. If no other survivors share Thomas's location, nothing happens.",,"Players must collectively remove 2 medicine cards in their hand from the game. If 2 medicines are not removed, carry out the effects of Option 1 instead.",,Kill Thomas.
41,Rod Miller,If Rod is in play:,"Everybody knows the signs, but Rod finds it strange to experience them firsthand. The pain in his left arm isn't sharp so much as it's icy, and it radiates from his fingers all the way into his chest. ""Gonna be okay,"" he gasps to the others before collapsing. The Ghost of Truck Stop Meals Past swims past his eyes, and even as he fights for life, the cynic in him figures it's better to die from mac 'n cheese than zombies.","""I saw a defibrillator at the hospital the last time we were there. We're going to have to carry him."" Place 2 survivors you control and Rod at the Hospital (this does not count as a move.) Roll for exposure on Rod and both of those survivors 2 times each. If there is not enough room at the hospital to do this, you may place any survivors currently at the hospital back at the colony (this does not count as a move).",,Kill Rod.,,
42,Supply Drop,If a survivor the player controls is at the colony:,"You lived near the airport when you were a kid, and used to climb up on the roof of your house to watch the planes take off. When one passed overhead you'd cheer as the displaced air whipped over your body. Just like right now. What, what? You snap awake and fall out of your lawn chair. As immense plane, like something from an old war movie, roars overhead before disgorging what looks like a crate. An orange parachute pops open, carrying the crate to safety - and away from the colony.","""Someone knows we're here. There's no way this is random. We have to find that crate!"" Choose a survivor you control and roll for exposure on that survivor 3 times. If they aren't killed by that add 5 food to the supply. ""The container had Chinese or something stenciled on it. It wasn't our government that made the drop, that's for sure"". If Annaleigh Chan is in play, she is able to translate the text. The Chinese government is still intact and is trying to provide relief efforts. Gain 1 morale.",,Nothing happens.,,
43,Army,If a survivor the player controls is at the colony:,The soldiers in army uniforms make predictable demands - have food ready when they return or the colony will be burnt to the ground. Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.,"Add the following victory condition to the current main objective, in addition to any victory conditions already listed: Have 5 food in the supply.",,"Your ambush is surprisingly effective, and their losses are worse than yours. The cowards flee in a disorganized fashion. Roll a die for each survivor at the colony. On each result of 3 or lower that survivor receives 1 wound.",,"If Thomas Heart is at the colony he notices that the man calling himself colonel has a sergeant's uniform. He calls them on their lie at the gate, the imposters angrily retreat. Nothing happens."
44,Gambling,If a survivor the player controls is at the colony:,"""I'm bored. C'mon, let's roll some dice. Surely everyone here has something they can ante up? I've got a pair of clean socks that says I wipe the floor with you chumps."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","One at a time, starting with the first player, each player may place 1 item card from their hand into the center of the play area for each survivor they control at the colony. For every card played that player rolls 1 die. The player that rolled the highest die result takes all of the cards placed in the center of the play area and adds them to his hand. Reroll ties.",,Nothing happens.,,
45,Bitter Cold Night,If the player receives a frostbite wound and as the result of rolling for exposure after moving to a location with 1 or more survivors:,"The night brings with it a new understanding of cold. The snow stopped, but the wind picked up, and your extremities all ache from icy pain that stabs you. You stagger to the door and bang as loudly as you can, shouting for someone to let you in. But the wind howls louder, and your hat is torn from your head. You hammer on the door again, panic gripping you as the cold instantly starts chewing on your ears. Every player with 1 or more survivors at the location that was moved to must vote with a thumbs up or down. The option with the most votes takes effect.","The door opens, but the wind enters with you, sending loose items scuttling across the floor, and putting the fire out with an audible ""whump"". Every survivor at the location receives 1 frostbite wound.",,The door stays shut tight. The moving survivor is killed.,,
46,Lighthouse,If a survivor the player controls is at the colony:,"""Remember how that fire drew in all those zombies last week? Well the other day I was looking out at the lighthouse and had an idea. What if we fired that thing up to lure away the dead? It hasn't seen full use in decades, but they'd light it up every now and then for special occasions, so I don't think it can be in that bad of shape.""","You may move 1 action die from your unused action die pool to your used action die pool to remove 1 zombie from every location. If you do not, nothing happens.",,,,
47,Sacrament,If the player moves a non-exiled survivor:,"You walk past the cathedral, and you realize that no one's been inside since the colony formed. It's certainly not the most tempting or targets... but you can think of something that might be of use.","You mount the steps, and the heavy front door groans as you pull it open. You spend fifteen minutes searching before you find a small room holding the prize you wanted - half a dozen bottles of Communion wine. But as you move through the dark hallways towards the exit, a foul smelling shape slams into you. The priest's corpse gnashes its teeth, nearly taking off your nose. ""Looks like you were judged and found wanting."" You slam the thing's head into the tiled floor repeatedly until only gory wreckage remains. You dust yourself off and wonder, did I just say a cheesy one-liner in a fight? That's badass! Roll exposure on the moved survivor twice. If the survivor isn't killed by the exposure, gain 1 morale.",,"Not worth the risk you think, and keep moving. Nothing happens.",,
